1/12 7:45:25|Utils|getURLTracker|The Url is already seen. http://172.24.1.4:1323/static/image/o.jpg
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925192
1/12 7:45:25|Utils|convertToSecond method called|time = 3483.0
1/12 7:45:25|Utils|isSplit|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:25|Utils|isSplit|Splitting for method GET = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for time 0.09600000000000009 = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForURLType|Method called.
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplit|isSplitForURLType = false
1/12 7:45:25|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split option not valid for URL = http://172.24.1.4:1323/static/image/o.jpg
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925192
1/12 7:45:25|Utils|convertToSecond method called|time = 3483.0
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925192
1/12 7:45:25|Utils|convertToSecond method called|time = 3483.0
1/12 7:45:25|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Newsamplescript\dump\flow\172.24.1.4_1323/static/image/
1/12 7:45:25|ProgressBar|setVisible|Method Called. bool = false
1/12 7:45:25|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/12 7:45:25|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:1323/favicon.ico|method called.
1/12 7:45:25|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/12 7:45:25|Utils|getURLTracker|urlString = http://172.24.1.4:1323/favicon.ico, requestOrResponce = request
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925272
1/12 7:45:25|Utils|convertToSecond method called|time = 3563.0
1/12 7:45:25|Utils|isSplit|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for Ajax Header = false
1/12 7:45:25|Utils|isSplit|Splitting for method GET = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForTimeDiff|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for time 0.08000000000000007 = false
1/12 7:45:25|Utils|isSplit|result = false
1/12 7:45:25|Utils|isSplitForURLType|Method called.
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplitForURLType|value = false
1/12 7:45:25|Utils|isSplit|isSplitForURLType = false
1/12 7:45:25|Utils|getURLTracker|urlString = http://172.24.1.4:1323/favicon.ico, requestOrResponce = response
1/12 7:45:25|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673532925333
1/12 7:45:25|Utils|convertToSecond method called|time = 3624.0
1/12 7:45:25|Utils|isSplit|Method called.
1/12 7:45:25|Utils|isSplit|Splitting for Ajax Header = false
