1/13 3:17:24|ChromeRecordingHttpListener|checkSplitOptionAndCaptureSnapShotForResponse|Auto split page url for URL type = http://172.24.1.4:8086/api/v2/setup
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244728
1/13 3:17:24|Utils|convertToSecond method called|time = 3840.0
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244728
1/13 3:17:24|Utils|convertToSecond method called|time = 3840.0
1/13 3:17:24|ChromeRecordingHttpListener|onCompleted |Adding dump diretory with path=C:\Users\kanhucharan.ghadai\Desktop\recorder\\scripts\workspace/admin/system/cavisson/default/default/scripts/Shortinfluxscript\dump\flow\172.24.1.4_8086/api/v2/
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeURLRequest|method called.
1/13 3:17:24|ChromeRecordingHttpListener|onBeforeSendHeaders for url = http://172.24.1.4:8086/78.a8bcdf1568.js|method called.
1/13 3:17:24|ChromeRecordingHttpListener|dumpRequestHeaders|method called.
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/78.a8bcdf1568.js, requestOrResponce = request
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244748
1/13 3:17:24|Utils|convertToSecond method called|time = 3860.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for time 0.020000000000000018 = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForURLType|Method called.
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplitForURLType|value = false
1/13 3:17:24|Utils|isSplit|isSplitForURLType = false
1/13 3:17:24|Utils|getURLTracker|urlString = http://172.24.1.4:8086/78.a8bcdf1568.js, requestOrResponce = response
1/13 3:17:24|Utils|getRelativeTimeWithRespectOfStartRecordingTime|Method called.time stamp = 1673603244791
1/13 3:17:24|Utils|convertToSecond method called|time = 3903.0
1/13 3:17:24|Utils|isSplit|Method called.
1/13 3:17:24|Utils|isSplit|Splitting for Ajax Header = false
1/13 3:17:24|Utils|isSplit|Splitting for method GET = false
1/13 3:17:24|Utils|isSplit|result = false
1/13 3:17:24|Utils|isSplitForTimeDiff|Method called.
